epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,23.2485,1.05511,1.67626,1.23329,0.65153,0.78333,0.90885,0.64263,1.64314,1.16603,1.35762,1.97946e-05,1.97946e-05,1.97946e-05
23,23.9192,0.89969,1.60969,1.33464,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.0478e-05,2.0478e-05,2.0478e-05
24,24.5317,0.90842,1.5892,1.21789,0.81755,0.65,0.85488,0.62735,1.64678,1.18869,1.36051,2.11379e-05,2.11379e-05,2.11379e-05
25,25.1706,0.66617,1.97912,1.07427,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.17741e-05,2.17741e-05,2.17741e-05
26,25.7903,0.8673,1.27813,1.18381,0.81872,0.65,0.85515,0.62521,1.64761,1.20989,1.36522,2.23869e-05,2.23869e-05,2.23869e-05
27,26.4181,0.95499,1.44167,1.4118,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.2976e-05,2.2976e-05,2.2976e-05
28,27.033,0.94663,1.19886,1.22928,0.83016,0.65,0.85454,0.59987,1.67594,1.27195,1.38217,2.35417e-05,2.35417e-05,2.35417e-05
29,27.6651,0.97208,1.67424,1.29648,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.40837e-05,2.40837e-05,2.40837e-05
30,28.2641,1.00533,1.22225,1.29198,0.82487,0.65,0.85458,0.59999,1.66911,1.29454,1.38006,2.46022e-05,2.46022e-05,2.46022e-05
31,28.9395,1.00094,1.59444,1.32905,0.80012,0.65,0.85243,0.60164,1.68309,1.35614,1.38882,2.50971e-05,2.50971e-05,2.50971e-05
32,29.6173,0.66027,1.49137,1.2985,0.80012,0.65,0.85243,0.60164,1.68309,1.35614,1.38882,2.55685e-05,2.55685e-05,2.55685e-05
33,30.2894,1.0577,1.90386,1.34138,0.7938,0.65,0.8523,0.58458,1.67301,1.39465,1.38184,2.60163e-05,2.60163e-05,2.60163e-05
34,30.9387,1.02336,1.90341,1.41686,0.7938,0.65,0.8523,0.58458,1.67301,1.39465,1.38184,2.64405e-05,2.64405e-05,2.64405e-05
35,31.6236,0.92433,1.20597,1.31327,0.77322,0.65,0.84796,0.56666,1.64905,1.42628,1.3696,2.68412e-05,2.68412e-05,2.68412e-05
36,32.2778,1.00999,1.42225,1.36773,0.77322,0.65,0.84796,0.56666,1.64905,1.42628,1.3696,2.72183e-05,2.72183e-05,2.72183e-05
37,32.9944,0.99417,1.04277,1.35097,0.81011,0.6493,0.84525,0.56114,1.61143,1.45865,1.35137,2.75718e-05,2.75718e-05,2.75718e-05
38,33.6789,0.58043,0.85271,0.95926,0.81011,0.6493,0.84525,0.56114,1.61143,1.45865,1.35137,2.79018e-05,2.79018e-05,2.79018e-05
39,34.3929,0.72199,0.76965,1.16959,0.79153,0.63918,0.84535,0.54542,1.59081,1.48772,1.34481,2.82082e-05,2.82082e-05,2.82082e-05
40,35.0384,0.76554,1.01961,1.16077,0.79153,0.63918,0.84535,0.54542,1.59081,1.48772,1.34481,2.84911e-05,2.84911e-05,2.84911e-05
41,35.686,0.77312,1.10764,1.11634,0.76201,0.65,0.84547,0.53019,1.58479,1.54445,1.34523,2.87504e-05,2.87504e-05,2.87504e-05
42,36.3571,0.93406,1.12175,1.19828,0.76201,0.65,0.84547,0.53019,1.58479,1.54445,1.34523,2.89861e-05,2.89861e-05,2.89861e-05
43,37.0539,0.97245,0.98943,1.4463,0.72771,0.65,0.84615,0.53176,1.5754,1.59351,1.34339,2.91983e-05,2.91983e-05,2.91983e-05
44,37.7362,0.67641,0.8981,1.08924,0.72771,0.65,0.84615,0.53176,1.5754,1.59351,1.34339,2.93869e-05,2.93869e-05,2.93869e-05
45,38.476,0.66565,1.40267,1.08532,0.7241,0.65,0.76343,0.45853,1.60214,1.6437,1.35765,2.9552e-05,2.9552e-05,2.9552e-05
46,39.1434,0.85257,0.99951,1.25167,0.7241,0.65,0.76343,0.45853,1.60214,1.6437,1.35765,2.96935e-05,2.96935e-05,2.96935e-05
47,39.8565,0.86181,0.75402,1.25316,0.73489,0.65,0.70846,0.3983,1.56456,1.67288,1.34741,2.98114e-05,2.98114e-05,2.98114e-05
48,40.5415,0.76573,0.99925,1.13913,0.73489,0.65,0.70846,0.3983,1.56456,1.67288,1.34741,2.99058e-05,2.99058e-05,2.99058e-05
49,41.2578,1.02124,1.11126,1.38337,0.73137,0.65,0.70754,0.39849,1.55265,1.69543,1.34596,2.99766e-05,2.99766e-05,2.99766e-05
50,41.9404,0.66881,0.88492,1.10313,0.73137,0.65,0.70754,0.39849,1.55265,1.69543,1.34596,3.00238e-05,3.00238e-05,3.00238e-05
51,42.6371,0.7224,0.92386,1.2149,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00475e-05,3.00475e-05,3.00475e-05
52,43.2892,0.80466,1.64075,1.1744,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00476e-05,3.00476e-05,3.00476e-05
53,44.3951,0.55218,0.8894,1.01854,0.72179,0.65,0.69402,0.38483,1.59427,1.80422,1.36312,3.00242e-05,3.00242e-05,3.00242e-05
54,45.0821,0.73793,0.98238,1.1142,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.99772e-05,2.99772e-05,2.99772e-05
55,45.7612,0.66096,1.12101,1.15303,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.99066e-05,2.99066e-05,2.99066e-05
56,46.4796,0.70789,0.84692,1.25945,0.77876,0.65408,0.68632,0.36133,1.63707,1.89238,1.37996,2.98125e-05,2.98125e-05,2.98125e-05
57,47.1923,0.69717,0.70986,1.19566,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.96948e-05,2.96948e-05,2.96948e-05
58,47.8551,0.7553,1.04203,1.19609,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.95535e-05,2.95535e-05,2.95535e-05
59,48.5299,0.71098,0.72835,1.23379,0.77862,0.65945,0.68948,0.35889,1.64146,1.94016,1.38062,2.93887e-05,2.93887e-05,2.93887e-05
60,49.2106,0.75401,0.95042,1.28141,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.92003e-05,2.92003e-05,2.92003e-05
61,49.8457,0.61284,0.69205,1.05642,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.89884e-05,2.89884e-05,2.89884e-05
62,50.4867,0.77315,0.89241,1.29826,0.77989,0.48333,0.69348,0.35769,1.6909,1.97455,1.41078,2.87529e-05,2.87529e-05,2.87529e-05
63,51.1337,0.68424,0.81595,1.16348,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.84938e-05,2.84938e-05,2.84938e-05
64,51.7865,0.81393,0.79335,1.08377,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.82112e-05,2.82112e-05,2.82112e-05
65,52.4703,0.6066,0.68242,1.03647,0.7871,0.48333,0.56944,0.26912,1.73022,2.01286,1.42831,2.7905e-05,2.7905e-05,2.7905e-05
66,53.1721,0.92275,1.97753,1.31905,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.75753e-05,2.75753e-05,2.75753e-05
67,53.835,0.76743,0.89145,1.17673,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.7222e-05,2.7222e-05,2.7222e-05
68,54.508,0.65742,0.76553,1.04377,0.77316,0.48333,0.55569,0.26052,1.68148,2.06942,1.40934,2.68451e-05,2.68451e-05,2.68451e-05
69,55.1954,0.70109,0.67476,1.27267,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.64447e-05,2.64447e-05,2.64447e-05
70,55.8817,0.9602,1.05845,1.38433,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.60207e-05,2.60207e-05,2.60207e-05
71,56.5495,0.66766,0.70023,1.15118,0.77735,0.48333,0.55498,0.25603,1.77365,2.11477,1.44423,2.55731e-05,2.55731e-05,2.55731e-05
72,57.2457,0.6271,1.0086,1.15688,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.5102e-05,2.5102e-05,2.5102e-05
73,57.9141,0.60023,0.57912,1.14603,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.46073e-05,2.46073e-05,2.46073e-05
74,58.5771,1.04647,1.83026,1.47464,0.81853,0.48333,0.57664,0.26766,1.81688,2.17343,1.46776,2.40891e-05,2.40891e-05,2.40891e-05
75,59.3064,0.97268,0.91439,1.2534,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.35472e-05,2.35472e-05,2.35472e-05
76,59.9373,0.90088,0.86665,1.33548,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.29819e-05,2.29819e-05,2.29819e-05
77,60.6159,0.65988,0.62857,1.03314,0.78867,0.48333,0.53771,0.26463,1.78665,2.17777,1.43941,2.23929e-05,2.23929e-05,2.23929e-05
78,61.3091,0.67445,1.00074,1.13035,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.17805e-05,2.17805e-05,2.17805e-05
79,61.9443,0.82779,1.37207,1.30297,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.11444e-05,2.11444e-05,2.11444e-05
80,62.6185,0.63053,0.58266,1.12554,0.81997,0.48333,0.55165,0.26719,1.80813,2.21593,1.45382,2.04848e-05,2.04848e-05,2.04848e-05
81,63.3227,0.78311,0.82345,1.1029,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.98016e-05,1.98016e-05,1.98016e-05
82,63.9414,0.44735,0.44987,0.941,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.90949e-05,1.90949e-05,1.90949e-05
83,64.5675,0.68888,0.73784,1.0365,0.82779,0.48333,0.54908,0.26681,1.80312,2.21657,1.44738,1.83646e-05,1.83646e-05,1.83646e-05
84,65.2288,0.81106,1.38302,1.25607,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.76107e-05,1.76107e-05,1.76107e-05
85,65.8712,0.60518,0.74611,1.16196,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.68333e-05,1.68333e-05,1.68333e-05
86,66.5374,0.60897,0.80746,1.14018,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.60323e-05,1.60323e-05,1.60323e-05
87,67.2388,0.57863,0.6391,1.08386,0.85057,0.46653,0.55149,0.26746,1.75672,2.26241,1.42706,1.52077e-05,1.52077e-05,1.52077e-05
88,67.977,0.70344,0.94526,1.09808,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.43596e-05,1.43596e-05,1.43596e-05
89,68.6853,0.66468,0.79614,1.16117,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.34879e-05,1.34879e-05,1.34879e-05
90,69.3871,0.7881,0.67725,1.09976,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.25927e-05,1.25927e-05,1.25927e-05
91,82.0689,0.5717,0.49336,1.05983,0.78963,0.46163,0.5227,0.24519,1.79119,2.2889,1.44893,1.16739e-05,1.16739e-05,1.16739e-05
92,82.9055,0.45704,0.48272,0.85214,0.79491,0.48333,0.52094,0.26167,1.83209,2.28346,1.47761,1.07315e-05,1.07315e-05,1.07315e-05
93,83.5966,0.46726,0.48127,0.95579,0.79491,0.48333,0.52094,0.26167,1.83209,2.28346,1.47761,9.76562e-06,9.76562e-06,9.76562e-06
94,84.2742,0.57883,0.60237,1.09933,0.79491,0.48333,0.52094,0.26167,1.83209,2.28346,1.47761,8.77613e-06,8.77613e-06,8.77613e-06
95,84.8899,0.57414,0.62227,1.08165,0.79491,0.48333,0.52094,0.26167,1.83209,2.28346,1.47761,7.76308e-06,7.76308e-06,7.76308e-06
96,85.537,0.86816,0.75406,1.21698,0.82539,0.46547,0.53085,0.26657,1.77023,2.15975,1.45104,6.72648e-06,6.72648e-06,6.72648e-06
97,86.1807,0.53505,0.45638,0.90391,0.82539,0.46547,0.53085,0.26657,1.77023,2.15975,1.45104,5.6663e-06,5.6663e-06,5.6663e-06
98,86.8014,0.52417,0.59111,1.00633,0.82539,0.46547,0.53085,0.26657,1.77023,2.15975,1.45104,4.58257e-06,4.58257e-06,4.58257e-06
99,87.4393,0.55664,0.50804,1.01197,0.82539,0.46547,0.53085,0.26657,1.77023,2.15975,1.45104,3.47528e-06,3.47528e-06,3.47528e-06
100,88.1326,0.44819,0.41461,0.93468,0.83123,0.46372,0.55719,0.30991,1.74232,2.05732,1.43543,2.34442e-06,2.34442e-06,2.34442e-06
